,Shape,Dtype,Dtype range,Actual range,Mean,Median,Laplace std,Otsu threshold,Pixels above otsu,Pixels below otsu,Percentage above otsu,mode
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile34.tif","(2000, 2000)",uint16,"(0, 65535)","(151, 3941)",429.51926725,407.0,0.0019158055952979277,543.32421875,493699,3506301,12.342475,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile35.tif","(2000, 2000)",uint16,"(0, 65535)","(119, 3898)",425.3149265,406.0,0.0019212941536859338,539.708984375,447772,3552228,11.1943,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile37.tif","(2000, 2000)",uint16,"(0, 65535)","(266, 2768)",504.4215,475.0,0.002098378734634489,652.05078125,343018,3656982,8.57545,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile38.tif","(2000, 2000)",uint16,"(0, 65535)","(165, 3048)",518.31746225,500.0,0.002145310125434195,688.669921875,323022,3676978,8.07555,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile39.tif","(2000, 2000)",uint16,"(0, 65535)","(208, 4095)",565.704948,536.0,0.002241963777289275,807.751953125,242970,3757030,6.07425,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile40.tif","(2000, 2000)",uint16,"(0, 65535)","(205, 4095)",611.86010975,589.0,0.00236162978621854,714.04296875,729673,3270327,18.241825,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile41.tif","(2000, 2000)",uint16,"(0, 65535)","(202, 4095)",591.1849865,579.0,0.0023022495839671643,604.986328125,1663803,2336197,41.595075,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile42.tif","(2000, 2000)",uint16,"(0, 65535)","(104, 4095)",601.43746775,600.0,0.002315140994305426,595.080078125,2066710,1933290,51.66775,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile49.tif","(2000, 2000)",uint16,"(0, 65535)","(248, 3232)",516.27176475,498.0,0.0021161383241466835,580.203125,647478,3352522,16.18695,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile50.tif","(2000, 2000)",uint16,"(0, 65535)","(234, 3030)",512.03315625,490.0,0.0021120008060072706,621.7265625,386501,3613499,9.662524999999999,good
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile1.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile10.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3737)",293.239278,144.0,0.001486446238879512,518.216796875,795028,3204972,19.8757,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile100.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile101.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3841)",92.4464215,0.0,0.0007790639262666465,1147.798828125,56696,3943304,1.4174,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile102.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4028)",386.420696,152.0,0.0018018860799058384,810.3203125,656989,3343011,16.424725000000002,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile103.tif","(2000, 2000)",uint16,"(0, 65535)","(24, 4095)",749.91558325,742.0,0.0026160807346654897,906.580078125,1362786,2637214,34.06965,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile105.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile106.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile2.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile29.tif","(2000, 2000)",uint16,"(0, 65535)","(46, 4095)",600.4252815,554.0,0.002359165380854176,654.931640625,1737766,2262234,43.44415,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile3.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile30.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 308)",48.66356425,0.0,0.0004415774239298982,73.9921875,1314058,2685942,32.85145,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile31.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 275)",5.79958225,0.0,0.00017142340897066487,75.732421875,151997,3848003,3.799925,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile32.tif","(2000, 2000)",uint16,"(0, 65535)","(36, 769)",135.0444735,133.0,0.0006683770664787337,137.646484375,1562420,2437580,39.0605,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile33.tif","(2000, 2000)",uint16,"(0, 65535)","(58, 3773)",482.709678,487.0,0.002010404962073568,457.072265625,2242147,1757853,56.053675000000005,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile4.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2423)",4.1538405,0.0,0.00028436807633801855,4.732421875,28804,3971196,0.7201,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile43.tif","(2000, 2000)",uint16,"(0, 65535)","(84, 4095)",538.58580325,538.0,0.0021479162620937665,530.537109375,2072418,1927582,51.810449999999996,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile44.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",391.572971,152.0,0.0018451048547874433,679.833984375,777000,3223000,19.425,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile46.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 298)",33.709358,0.0,0.0003730767983858019,73.91796875,907478,3092522,22.68695,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile47.tif","(2000, 2000)",uint16,"(0, 65535)","(36, 3289)",142.17905125,133.0,0.0007201848143593907,664.998046875,19393,3980607,0.484825,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile48.tif","(2000, 2000)",uint16,"(0, 65535)","(10, 3650)",536.40766525,551.0,0.002124890773989976,401.015625,3194031,805969,79.850775,bad
"bad_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile5.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2417)",19.96125725,0.0,0.0005323464458890432,259.638671875,151997,3848003,3.799925,bad
